Cultural_Ethnic_Group_Key,Group_Code,Cultural_Ethnic_Group,Cultural_Ethnic_Group_Date
c303d552499c2607546d8410644bf2fe,1101,Australian,2024-07-11
14bbbba104fdc9a4049f96f9baef94d9,1102,Australian Aboriginal,2024-07-11
9f46d4cd4c66e2ea7565c7b65d661140,1103,Australian South Sea Islander,2024-07-11
7fbc3b4e38a804f28615e5a24b4575a0,1104,Torres Strait Islander,2024-07-11
3809bb78be1605781cf4f575edb2de90,1105,Norfolk Islander,2024-07-11
9c751c711ebc5775246f80308ef4d56e,1201,Maori,2024-07-11
dc9a19801ea8cda00745a50e44d75f89,1202,New Zealander,2024-07-11
4dfd28b544fe85459f2ce8f3bd6933ba,1301,New Caledonian,2024-07-11
a6453f72034ce38ae8f04b7d2a88eeb5,1302,Ni-Vanuatu,2024-07-11
caaf2b1499f6ff33f93cdadb144edd9d,1303,Papua New Guinean,2024-07-11
4b77a432d19dea976c1b5baa3a8e58d0,1304,Solomon Islander,2024-07-11
557b7a958ef42bd4e6d69ece03780eca,1399,"Melanesian and Papuan, nec",2024-07-11
89f5f4c6a73c7d5b2b00e2d4ee1d5d60,1401,I-Kiribati,2024-07-11
b37b6e4f5c3c0717934dd188e5dcd5db,1402,Nauruan,2024-07-11
7f9aa5cfa04d68ec927a9c72998be4a9,1499,"Micronesian, nec",2024-07-11
cbd07925c51d7c7d244999e8ffb154e0,1501,Cook Islander,2024-07-11
bcdc06955171123cd8b2b2f832d5cbba,1502,Fijian,2024-07-11
ba37db58f47c31c5e3a9f50a022f5cf3,1503,Niuean,2024-07-11
5063c7873b7d6f9fbbfd89fe217bf2b5,1504,Samoan,2024-07-11
46b28fffaf74f58670d8b8fa86a43ea5,1505,Tongan,2024-07-11
a0d02c9438696d070d94a33e8f78885f,1506,Hawaiian,2024-07-11
7e724a2ded81c257d771f8fe494f71f6,1507,Tahitian,2024-07-11
66c15bfd5544f02216ae19c0382ce5b8,1508,Tokelauan,2024-07-11
0e391e83315144f2b79e260a623a15a0,1511,Tuvaluan,2024-07-11
7fad9908f71e4ba29eeff3847d7ccc10,1512,Pitcairn,2024-07-11
97ef5a519e8c5171327eea8add5a37c3,1599,"Polynesian, nec",2024-07-11
78463a384a5aa4fad5fa73e2f506ecfc,2101,English,2024-07-11
a1b27c48dae43b9ae63141c37f0a5034,2102,Scottish,2024-07-11
bbb0fa49b525c4264f4ad7a06adc3e07,2103,Welsh,2024-07-11
251b91c19179f4c728ebacbc83e14e75,2104,Channel Islander,2024-07-11
2db26cf0709cd8913e9e13e8be3713bd,2105,Manx,2024-07-11
e96a9815c7346e573acfbb075cdffa6a,2199,"British, nec",2024-07-11
2cfce796f4703d560ae1c3a1b3fb7e74,2201,Irish,2024-07-11
6112a10894125bd4951ae204f9c9d4a1,2301,Austrian,2024-07-11
