"Language_Key","Language_Code","Language_Description","Language_Date"
"c6bff625bdb0393992c9d4db0c6bbe45","1101","Gaelic (Scotland)",2024-07-11
"c667d53acd899a97a85de0c201ba99be","1102","Irish",2024-07-11
"aace49c7d80767cffec0e513ae886df0","1103","Welsh",2024-07-11
"4d2e7bd33c475784381a64e43e50922f","1199","Celtic, nec",2024-07-11
"7501e5d4da87ac39d782741cd794002d","1201","English",2024-07-11
"2df45244f09369e16ea3f9117ca45157","1301","German",2024-07-11
"996009f2374006606f4c0b0fda878af1","1302","Letzeburgish",2024-07-11
"d282ef263719ab842e05382dc235f69e","1303","Yiddish",2024-07-11
"9701a1c165dd9420816bfec5edd6c2b1","1401","Dutch",2024-07-11
"28fc2782ea7ef51c1104ccf7b9bea13d","1402","Frisian",2024-07-11
"4edaa105d5f53590338791951e38c3ad","1403","Afrikaans",2024-07-11
"5cbdfd0dfa22a3fca7266376887f549b","1501","Danish",2024-07-11
"77f959f119f4fb2321e9ce801e2f5163","1502","Icelandic",2024-07-11
"0c8ce55163055c4da50a81e0a273468c","1503","Norwegian",2024-07-11
"49b8b4f95f02e055801da3b4f58e28b7","1504","Swedish",2024-07-11
"83e8ef518174e1eb6be4a0778d050c9d","1599","Scandinavian, nec",2024-07-11
"c559da2ba967eb820766939a658022c8","1601","Estonian",2024-07-11
"1bc0249a6412ef49b07fe6f62e6dc8de","1602","Finnish",2024-07-11
"ef2a4be5473ab0b3cc286e67b1f59f44","1699","Finnish and Related Languages, nec",2024-07-11
"c5866e93cab1776890fe343c9e7063fb","2101","French",2024-07-11
"e45823afe1e5120cec11fc4c379a0c67","2201","Greek",2024-07-11
"2b45c629e577731c4df84fc34f936a89","2301","Catalan",2024-07-11
"ffedf5be3a86e2ee281d54cdc97bc1cf","2302","Portuguese",2024-07-11
"d827f12e35eae370ba9c65b7f6026695","2303","Spanish",2024-07-11
"bc7f621451b4f5df308a8e098112185d","2399","Iberian Romance, nec",2024-07-11
"959ef477884b6ac2241b19ee4fb776ae","2401","Italian",2024-07-11
"3f998e713a6e02287c374fd26835d87e","2501","Maltese",2024-07-11
"a57e8915461b83adefb011530b711704","2901","Basque",2024-07-11
"379a7ba015d8bf1c70b8add2c287c6fa","2902","Latin",2024-07-11
"a36e841c5230a79c2102036d2e259848","2999","Other Southern European Languages, nec",2024-07-11
"62f91ce9b820a491ee78c108636db089","3101","Latvian",2024-07-11
"c5d9256689c43036581f781c61f26e50","3102","Lithuanian",2024-07-11
"8217bb4e7fa0541e0f5e04fea764ab91","3301","Hungarian",2024-07-11
"7fcc48d22804dbbe9b66b607d51389d4","3401","Belorussian",2024-07-11
"91d0dbfd38d950cb716c4dd26c5da08a","3402","Russian",2024-07-11
"898dd88cca7b2f65461bc491dacb9b25","3403","Ukrainian",2024-07-11
"d494020ff8ec181ef98ed97ac3f25453","3501","Bosnian",2024-07-11
