"Narrow_Group_3_Key","Narrow_Group_3","Narrow_Group_3_Description","Narrow_Group_3_Date"
"31839b036f63806cba3f47b93af8ccb5","817","Kunwinjkuan",2024-07-10
"f0adc8838f4bdedde4ec2cfad0515589","818","Burarran",2024-07-10
"4558dbb6f6f8bb2e16d03b85bde76e2c","821","Dhangu",2024-07-10
"afda332245e2af431fb7b672a68b659d","822","Dhay'yi",2024-07-10
"632cee946db83e7a52ce5e8d6f0fed35","823","Dhuwal",2024-07-10
"677e09724f0e2df9b6c000b75b5da10d","824","Dhuwala",2024-07-10
"d554f7bb7be44a7267068a7df88ddd20","825","Djinang",2024-07-10
"795c7a7a5ec6b460ec00c5841019b9e9","826","Djinba",2024-07-10
"fa3a3c407f82377f55c19c5d403335c7","827","Yakuy",2024-07-10
"c2626d850c80ea07e7511bbae4c76f4b","828","Nhangu",2024-07-10
"ce78d1da254c0843eb23951ae077ff5f","829","Other Yolngu Matha",2024-07-10
"f9a40a4780f5e1306c46f1c8daecee3b","861","Anmatyerr",2024-07-10
"5ec91aac30eae62f4140325d09b9afd0","862","Arrernte",2024-07-10
