Religious_Group_Key,Group_Code,Religious_Group,Religious_Group_Date
46a20451f6e967429a154e51c37d913a,151111,Mahayana Buddhism,2024-07-09
e3484a1ebaa610b374a8b61b80160fdd,151112,Theravada Buddhism,2024-07-09
5fca1c87d77683d57475aa6502b590ec,151113,Vajrayana Buddhism,2024-07-09
88ff757d68c0db53c0c18868f55688c8,251111,Anglican Catholic Church,2024-07-09
418090185165dd25120c6af3beee5d9a,251112,Anglican Church of Australia,2024-07-09
49dd3a7a1e42664881af231a41bb4ede,251199,"Anglican, nec",2024-07-09
b5dd1fb68724fd790631808b1ed4c42e,251211,Ancient Church of the East,2024-07-09
1eeb9926390fb4c079df129a450f912c,251212,Assyrian Church of the East,2024-07-09
483dc90b48095d7e4779ad9c2b1fbf8b,251299,"Assyrian Apostolic, nec",2024-07-09
aa8c9b3b156fcaae78e955263a2a1dec,251311,Baptist,2024-07-09
6e66e991fc1b310e9b606e774e2f4186,251411,Brethren,2024-07-09
33ebe7b1e78cdada6eaf93af2e25b31b,251511,Chaldean Catholic,2024-07-09
54fe18bf54252a83b349e6ac387ce6d5,251512,Maronite Catholic,2024-07-09
36dc94244b32158c350c7170c3c4c889,251513,Melkite Catholic,2024-07-09
e49958670b46bdf4dbc967e10965c495,251514,Syriac Catholic,2024-07-09
860ae2a4cd854f2d3f5d41527828c2a7,251515,Syro Malabar Catholic,2024-07-09
925bdce0b8e990a5cfd3dc04023e8f31,251516,Ukrainian Catholic,2024-07-09
817916f1ff1cc3796a1c70e3d2b140d2,251517,Western Catholic,2024-07-09
fe971cdc56e2286cc23e8fe3af2fc132,251599,"Catholic, nec",2024-07-09
75c5f1191a96e6960b7361ab9d2ecb74,251611,Church of Christ (Non-denominational),2024-07-09
05f3893d53a0ae03873ff820ed849797,251612,Churches of Christ (Conference),2024-07-09
ccdc8850de87a17c0312f05cc23440a3,251613,International Church of Christ,2024-07-09
695c72f6c6429725377b2b91cc034ac0,251711,Antiochian Orthodox,2024-07-09
87f8215d5c1acedeb384506943fb1047,251712,Greek Orthodox,2024-07-09
5399d489579814da68b3392e97031776,251713,Macedonian Orthodox,2024-07-09
a6be1c655d81aceb016c678a8985fef3,251714,Romanian Orthodox,2024-07-09
5a17d05f3a769f8ef18809d16d054f21,251715,Russian Orthodox,2024-07-09
c69701cee778363c971d9f39e8b3103a,251716,Serbian Orthodox,2024-07-09
3c0aabdfea09788e8116a8eedb32938a,251717,Ukrainian Orthodox,2024-07-09
c394b202d5933d8c371fd602c064090d,251799,"Eastern Orthodox, nec",2024-07-09
602b305066ad4fb2f32298e5ea3d0e5f,251811,Jehovah's Witnesses,2024-07-09
8f29b1f8e23a494f941648dc4103971f,252111,Community of Christ,2024-07-09
72543e0f0a316fa80e53cb67f253081c,252112,The Church of Jesus Christ of Latter-day Saints,2024-07-09
05ed4cf67ac87bfa9fd803b465d10954,252211,Lutheran,2024-07-09
ff0a77f8f65967822d3da8f3d3a19b7a,252311,Armenian Apostolic,2024-07-09
29a1aac8a7ec7d902ae8d2cec0c73799,252312,Coptic Orthodox Church,2024-07-09
902bb3f206d29fb4dd9a7d7366cc7117,252313,Ethiopian Orthodox Church,2024-07-09
76f4bfc776dad21d1c3b0179b518840d,252314,Syrian Orthodox Church,2024-07-09
7ed11b80bf26f899c6650b40cec755ca,252399,"Oriental Orthodox, nec",2024-07-09
1d6487577052129a004786ad724b8124,252411,Acts 2 Alliance,2024-07-09
1c31e312c5630e34a4768b6bc20188ee,252412,Apostolic Church (Australia),2024-07-09
207a96bda020bdef0d605fcdf884cff4,252413,Australian Christian Churches (Assemblies of God),2024-07-09
bf0ca8646785565463b3c7677fb92e04,252414,Bethesda Ministries International (Bethesda Churches),2024-07-09
9b997676bad0280a264702bfa37a93c2,252415,C3 Church Global (Christian City Church),2024-07-09
7cebf96b69522116d639850c51e8c4dd,252416,Christian Church in Australia,2024-07-09
8319ec5c83b1efc100673dc9b5b69069,252417,CRC International (Christian Revival Crusade),2024-07-09
351220729e09154eb1462d863f26cec3,252418,Foursquare Gospel Church,2024-07-09
f56c3ea877870df676234ef768bf2e28,252421,Full Gospel Church of Australia (Full Gospel Church),2024-07-09
e1dfd1f1436e5668fabc8aec78407882,252422,International Network of Churches (Christian Outreach Centres),2024-07-09
0999907cb73c1585adad093d9dcd0288,252423,Pentecostal City Life Church,2024-07-09
d1d5c386db86c57ce0e2a4263aee5b2b,252424,Revival Centres,2024-07-09
2ea393423f4ba87301c1d50615bc5571,252425,Revival Fellowship,2024-07-09
8dc7b685f69904f778bcae56a7b7da8f,252426,Rhema Family Church,2024-07-09
cdb4915c715fe4a4a4758e201ea68d56,252427,United Pentecostal,2024-07-09
58a2194c8f1a9e8c8f135785194a6aab,252428,Victory Life Centre,2024-07-09
a65ce1634b94be3a440c87cd716924af,252431,Victory Worship Centre,2024-07-09
815e395ae7e144bddb14dd8ae18af841,252432,Worship Centre Network,2024-07-09
26c2df0b7789c93e7f98e7273a140d22,252499,"Pentecostal, nec",2024-07-09
a5290df432260a279ffd15e6eb3d49fe,252511,Free Reformed,2024-07-09
8fa7db2770f3069e3b6c80e63b145df8,252512,Presbyterian,2024-07-09
9d291aa96ce200f4e2ad9008847a0005,252513,Reformed,2024-07-09
f65b08f9794c9a81b1c8b16855bebd31,252611,Salvation Army,2024-07-09
d567d8a6a21737e5381cd6fcc4fd5f30,252711,Seventh-day Adventist,2024-07-09
d97fa520cb650892b11110c7d8c8b039,252811,Uniting Church,2024-07-09
04795b7e1d5ed1bd522e9ed2cf0aa6a7,253111,Aboriginal Evangelical Missions,2024-07-09
b5f6a7a481eecb498e9978f1788c165f,253112,Born Again Christian,2024-07-09
ac9bf569a8b809c6a9ec5860aed0594f,253113,Christian and Missionary Alliance,2024-07-09
40752e9e3bb03905cecedee7149fc177,253114,Christian Community Churches of Australia,2024-07-09
708df3e54d8096a231cc97a8f281f882,253115,Church of the Nazarene,2024-07-09
81385e02802407abfd3e67e8cf31ae46,253116,Congregational,2024-07-09
a1c136ce4e6eb87ab5936ad47364f1c5,253117,Ethnic Evangelical Churches,2024-07-09
6314006a4597f8e2c26155a430045d15,253118,Independent Evangelical Churches,2024-07-09
d71cb99cd082993e3efb98cb6e829c4a,253121,"Methodist, so described",2024-07-09
8b86a5544064ffc4d079ef724c7d5700,253122,United Methodist Church,2024-07-09
65347fb1366d08c03ad3165b5c3db47f,253123,Wesleyan Methodist Church,2024-07-09
75b87964aa3b8497bb2f4663ef1fbb1f,253199,"Other Protestant, nec",2024-07-09
