Broad_Fields_Key,Broad_Fields,Narrow_Fields,Broad_Fields_Date
96a3be3cf272e017046d1b2674a52bd3,01,NATURAL AND PHYSICAL SCIENCES,2024-07-09
a2ef406e2c2351e0b9e80029c909242d,02,INFORMATION TECHNOLOGY,2024-07-09
e45ee7ce7e88149af8dd32b27f9512ce,03,ENGINEERING AND RELATED TECHNOLOGIES,2024-07-09
7d0665438e81d8eceb98c1e31fca80c1,04,ARCHITECTURE AND BUILDING,2024-07-09
751d31dd6b56b26b29dac2c0e1839e34,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",2024-07-09
faeac4e1eef307c2ab7b0a3821e6c667,06,HEALTH,2024-07-09
d72d187df41e10ea7d9fcdc7f5909205,07,EDUCATION,2024-07-09
fad6f4e614a212e80c67249a666d2b09,08,MANAGEMENT AND COMMERCE,2024-07-09
0a8005f5594bd67041f88c6196192646,09,SOCIETY AND CULTURE,2024-07-09
d3d9446802a44259755d38e6d163e820,10,CREATIVE ARTS,2024-07-09
6512bd43d9caa6e02c990b0a82652dca,11,"FOOD, HOSPITALITY AND PERSONAL SERVICES",2024-07-09
c20ad4d76fe97759aa27a0c99bff6710,12,MIXED FIELD PROGRAMMES,2024-07-09
