Detailed_Fields_Key,Detailed_Fields,Field_Description,Detailed_Fields_Date
21ef05aed5af92469a50b35623d52101,010101,Mathematics,2024-07-11
3f5601190d5446eef745a4d841025a55,010103,Statistics,2024-07-11
2be9b42955a9e0226dec24d21cacf74a,010199,"Mathematical Sciences, n.e.c.",2024-07-11
fc78be76f24f3325d2a0c0cca35fc100,010301,Physics,2024-07-11
9724adc808f96407b631e4724bb6c403,010303,Astronomy,2024-07-11
07e3b2a4d36e5f4579831444f6af4b53,010501,Organic Chemistry,2024-07-11
506a1a5050a1e7b06eef6eb832edfbe3,010503,Inorganic Chemistry,2024-07-11
ffd7e003a33f9b42d5d3760e7c3d7922,010599,"Chemical Sciences, n.e.c.",2024-07-11
485fb435710ca734eb778fed67fcd347,010701,Atmospheric Sciences,2024-07-11
22322afe2a5f7256880653e86d01f2e4,010703,Geology,2024-07-11
99fee382e41e238de5d2400e3761bd09,010705,Geophysics,2024-07-11
a47c973cdb475cec9ad0d26e0891c43f,010707,Geochemistry,2024-07-11
7413f31fc6cfd6b02cfdbaebdd89aea5,010709,Soil Science,2024-07-11
6297664580f6fc27d77c26f33432c168,010711,Hydrology,2024-07-11
9ba7edcb8ff5ad84e1f26485d312e716,010713,Oceanography,2024-07-11
4b62e86002cf805e0a0f422d7cbc2b3d,010799,"Earth Sciences, n.e.c.",2024-07-11
6b6c150d607dfc64d25f291d6b99696a,010901,Biochemistry and Cell Biology,2024-07-11
7ab0d61f3580827340f6f3f27985e103,010903,Botany,2024-07-11
620251fa6857f1277984f73d58c87f5c,010905,Ecology and Evolution,2024-07-11
30895cd4cfaabf5eff7ba0644011dfca,010907,Marine Science,2024-07-11
3181054b84a6715b6e9fe93d24289faf,010909,Genetics,2024-07-11
31a6ad6d85838c211b9675a194e05abb,010911,Microbiology,2024-07-11
46fcad317a3edd317bada0ace3d822c9,010913,Human Biology,2024-07-11
3d03dd68794bfe1428b666b972b16241,010915,Zoology,2024-07-11
95a54b701bc430e95717c0b8ffc9470b,010999,"Biological Sciences, n.e.c.",2024-07-11
f89a58d1539da3d39aa87f865dd251ca,019901,Medical Science,2024-07-11
74433974cac1d587bf9b6c626e00a5d7,019903,Forensic Science,2024-07-11
4621d08997896ab2afd5e60df1270d55,019905,Food Science and Biotechnology,2024-07-11
eb13bbc05dc25253bb3cafaa8a21ffa3,019907,Pharmacology,2024-07-11
0492c7958a2f52b9e4a352391213b50f,019909,Laboratory Technology,2024-07-11
727a452ecab7be2dad04dd74168ad0fa,019999,"Natural and Physical Sciences, n.e.c.",2024-07-11
957f21b0dd71a3f4cd000b0834352276,020101,Formal Language Theory,2024-07-11
8b51076ccf515ba797ed7940bee2c5f4,020103,Programming,2024-07-11
64ccc1dbe911bb8ff3fc6bfa8c0c8803,020105,Computational Theory,2024-07-11
93e78756dee93e3ece521da5b43a41f3,020107,Compiler Construction,2024-07-11
dcf1dc365b0fca4fb59e4d12557b3517,020109,Algorithms,2024-07-11
453cb52df2d4140448ef4fbc4e6ba902,020111,Data Structures,2024-07-11
10f2d4fb02322055383ab1fa971bb124,020113,Networks and Communications,2024-07-11
ef74cc0b11eab39bba07c5be1e1c1ca9,020115,Computer Graphics,2024-07-11
444b9eedfdc85a5ccab98f483113d553,020117,Operating Systems,2024-07-11
92a611d765b1ac139754050b311762cd,020119,Artificial Intelligence,2024-07-11
79f04342ed97823081faf3d40d000714,020199,"Computer Science, n.e.c.",2024-07-11
0e2eb1db8905e9d453d56d8a271594d9,020301,Conceptual Modelling,2024-07-11
5fe383532dbcd69ba9f902ef41899eda,020303,Database Management,2024-07-11
f7e8aac67a56813212db1d7868c28f8f,020305,Systems Analysis and Design,2024-07-11
e8d0be155547ab127ee0a2d2a699e070,020307,Decision Support Systems,2024-07-11
79541ee67972b46c34c9ce661a01ee73,020399,"Information Systems, n.e.c.",2024-07-11
804364c111dbd8698e6fc1d3a5ec0d8f,029901,Security Science,2024-07-11
a0f3f99d721a7041eb66bdd520ffd2fb,029999,"Information Technology, n.e.c.",2024-07-11
03dd4300a9e48b4413396333dd82066d,030101,Manufacturing Engineering,2024-07-11
2e02d058323e79929d2acc80839858af,030103,Printing,2024-07-11
2db5297f0f411a5e7e5cd109d2993b63,030105,Textile Making,2024-07-11
58c1cc871d24f2ef08fd6e359e40f362,030107,Garment Making,2024-07-11
529f0b14f9a2ef59d9a946ac70f4d296,030109,Footwear Making,2024-07-11
d8f27e88d316a104bcdfe1aba6485fef,030111,Wood Machining and Turning,2024-07-11
cfeb8ea121016e10243ce0e3af9b1692,030113,Cabinet Making,2024-07-11
1f79f9e60ea9a4e2fee6597863485636,030115,Furniture Upholstery and Renovation,2024-07-11
3db11bac2cc51d30adc7b7e95874116f,030117,Furniture Polishing,2024-07-11
da600ae1883cbc5009bf12a75fe19299,030199,"Manufacturing Engineering and Technology, n.e.c.",2024-07-11
3054f37341eb0c85f1b445a4f88d6d9e,030301,Chemical Engineering,2024-07-11
ffc97bc92a999e4be146d2cc3ce4d705,030303,Mining Engineering,2024-07-11
d2f6a295a7975c6cab0e15a9f9a038a4,030305,Materials Engineering,2024-07-11
