Narrow_Fields_Key,Narrow_Fields,Detailed_Fields,Narrow_Fields_Date
814f06ab7f40b2cff77f2c7bdffd3415,0101,Mathematical Sciences,2024-07-10
b0f07fe0f7de991bfca0de50391eb328,0103,Physics and Astronomy,2024-07-10
28b0eb6a294557fe2f4b242741083a2a,0105,Chemical Sciences,2024-07-10
13448471d89a9cd8d7f71026a0334ec8,0107,Earth Sciences,2024-07-10
bbe9047444895de971dcc65fe7f9504f,0109,Biological Sciences,2024-07-10
96a0b02d02f54f8e48dad3d9b69a2016,0199,Other Natural and Physical Sciences,2024-07-10
155d328d7db586cf215aca5e8088dfed,0201,Computer Science,2024-07-10
c81c2b9e997a81f84838cd8e60b93a01,0203,Information Systems,2024-07-10
6c72b80ca39cd956c16d2fc662186f22,0299,Other Information Technology,2024-07-10
3bd191aadaebb78ea49f12d8228ad4f8,0301,Manufacturing Engineering and Technology,2024-07-10
087c8abfaee44ebbf0c2871976a2ab18,0303,Process and Resources Engineering,2024-07-10
31247265f28e5ac616c230743990f79e,0305,Automotive Engineering and Technology,2024-07-10
cc1d60fc967b66b66229205d7bb288e8,0307,Mechanical and Industrial Engineering and Technology,2024-07-10
944de8673b0f2d1603a6ff33b18b8192,0309,Civil Engineering,2024-07-10
e3a958df39563a3bc9cbc53fc79dee52,0311,Geomatic Engineering,2024-07-10
df6806944b773a726f21ccc793f57ce8,0313,Electrical and Electronic Engineering and Technology,2024-07-10
970ab5357672c2a0286339df425935ca,0315,Aerospace Engineering and Technology,2024-07-10
aa763880535bec1ffba4663cded7cc71,0317,Maritime Engineering and Technology,2024-07-10
5e315235d0bad549068b21c039f424ad,0399,Other Engineering and Related Technologies,2024-07-10
99f97481f8214da999e3ccbe116f5334,0401,Architecture and Urban Environment,2024-07-10
436302a7f9a7389d1a68bea0d3b016e0,0403,Building,2024-07-10
06a9277e0d77bf374281cc927d432fe2,0501,Agriculture,2024-07-10
ed1b95b0728d4e8e4496598550e2fb9d,0503,Horticulture and Viticulture,2024-07-10
2c404b2a96dd6e40ee170c3ed4951ee6,0505,Forestry Studies,2024-07-10
3444fe680f33a865fb00d95d3da98bb9,0507,Fisheries Studies,2024-07-10
786bdf0b68846bffb04d4307ff13198f,0509,Environmental Studies,2024-07-10
7802913dc42d08478afcbc977e81b89e,0599,"Other Agriculture, Environmental and Related Studies",2024-07-10
398bb4d9a15db2d8bf52b9ca9c8538ee,0601,Medical Studies,2024-07-10
c90b7f4378a55a9170642af29922cf5c,0603,Nursing,2024-07-10
0cae130d84b77dfd664e70648582c136,0605,Pharmacy,2024-07-10
e8fe547e1a016acdc23b7428b14cc5fe,0607,Dental Studies,2024-07-10
bbdf56e2fbd1dbb503ceb433bed825ca,0609,Optical Science,2024-07-10
ad9be0b5d43f9e2aba895f3ede723aa1,0611,Veterinary Studies,2024-07-10
71f1c79e7e368a537e891c49552fa4c4,0613,Public Health,2024-07-10
6e746846ad849391755c57db7166827c,0615,Radiography,2024-07-10
3170018c26354727e9cc9f4677cf78b6,0617,Rehabilitation Therapies,2024-07-10
92bbf661f8e14d1e0fe52c6218075b7b,0619,Complementary Therapies,2024-07-10
6908ab1f9a9ecdaba4ee2509cb3451aa,0699,Other Health,2024-07-10
02ebef8c56a7ada3f1ed5e900e3143c0,0701,Teacher Education,2024-07-10
8975ca870012be158efd8c5824b3eb7c,0703,Curriculum and Education Studies,2024-07-10
c2bca95ce40109d87544d26b49170b15,0799,Other Education,2024-07-10
45226bae7da31547fbdca1c62d24a8dd,0801,Accounting,2024-07-10
e26c874ebe35bff978cd8e88597f7afb,0803,Business and Management,2024-07-10
f639b3bffb0910cb1de42fee016df58d,0805,Sales and Marketing,2024-07-10
d23422b17813e5eb024a4f3b4c9d97a5,0807,Tourism,2024-07-10
3bbb792975c29cea031830bf867a8c6b,0809,Office Studies,2024-07-10
26ffcef53c44522efbfe7fef964a4058,0811,"Banking, Finance and Related Fields",2024-07-10
47c8c701a4cd6e769579376af52560cc,0899,Other Management and Commerce,2024-07-10
f3086a19f261ac92f72997538aeec807,0901,Political Science and Policy Studies,2024-07-10
a35473cf94d983e392c83b24d265f3c1,0903,Studies in Human Society,2024-07-10
707c636fc43b41bf95896592d8410fe9,0905,Human Welfare Studies and Services,2024-07-10
5aee410122e9d1d76f194496cb2f90de,0907,Behavioural Science,2024-07-10
a5a7158118e59ee590424b55bb9aed17,0909,Law,2024-07-10
6d9ff949640422493f3db836c3035c64,0911,Justice and Law Enforcement,2024-07-10
8a5dd78aadea6ffc984bda22064adb92,0913,"Librarianship, Information Management and Curatorial Studies",2024-07-10
06f34114e73791be999e3d13029d9901,0915,Language and Literature,2024-07-10
da08809cfb899d6dbf5f592256ced24a,0917,Philosophy and Religious Studies,2024-07-10
99d56b682426ee50895fff5655743098,0919,Economics and Econometrics,2024-07-10
9f57a4be97cddeecfa89d006286bef39,0921,Sport and Recreation,2024-07-10
e4aed8529014c0251c0834d38a49cd8e,0999,Other Society and Culture,2024-07-10
b8c37e33defde51cf91e1e03e51657da,1001,Performing Arts,2024-07-10
aa68c75c4a77c87f97fb686b2f068676,1003,Visual Arts and Crafts,2024-07-10
2387337ba1e0b0249ba90f55b2ba2521,1005,Graphic and Design Studies,2024-07-10
d7322ed717dedf1eb4e6e52a37ea7bcd,1007,Communication and Media Studies,2024-07-10
a0160709701140704575d499c997b6ca,1099,Other Creative Arts,2024-07-10
c6bff625bdb0393992c9d4db0c6bbe45,1101,Food and Hospitality,2024-07-10
aace49c7d80767cffec0e513ae886df0,1103,Personal Services,2024-07-10
7501e5d4da87ac39d782741cd794002d,1201,General Education Programmes,2024-07-10
491442df5f88c6aa018e86dac21d3606,1203,Social Skills Programmes,2024-07-10
b571ecea16a9824023ee1af16897a582,1205,Employment Skills Programmes,2024-07-10
a0833c8a1817526ac555f8d67727caf6,1299,Other Mixed Field Programmes,2024-07-10
