Detailed_Level_key,Detailed_Level,Description,date
698d51a19d8a121ce581499d7b701668,111,Higher Doctorate,2024-07-09
7f6ffaa6bb0b408017b62254211691b5,112,Doctorate by Research,2024-07-09
73278a4a86960eeb576a8fd4c9ec6997,113,Doctorate by Coursework,2024-07-09
5fd0b37cd7dbbb00f97ba6ce92bf5add,114,Professional Specialist Qualification at Doctoral Degree Level,2024-07-09
2b44928ae11fb9384c4cf38708677c48,115,Statement of Attainment at Doctoral Degree Level,2024-07-09
c45147dee729311ef5b5c3003946c48f,116,Bridging and Enabling Course at Doctoral Degree Level,2024-07-09
4c56ff4ce4aaf9573aa5dff913df997a,121,Master Degree by Research,2024-07-09
a0a080f42e6f13b3a2df133f073095dd,122,Master Degree by Coursework,2024-07-09
202cb962ac59075b964b07152d234b70,123,Professional Specialist Qualification at Master Degree Level,2024-07-09
c8ffe9a587b126f152ed3d89a146b445,124,Statement of Attainment at Master Degree Level,2024-07-09
3def184ad8f4755ff269862ea77393dd,125,Bridging and Enabling Course at Master Degree Level,2024-07-09
eb163727917cbba1eea208541a643e74,211,Graduate Diploma,2024-07-09
1534b76d325a8f591b52d302e7181331,212,Graduate Qualifying or Preliminary,2024-07-09
979d472a84804b9f647bc185a877a8b5,213,Professional Specialist Qualification at Graduate Diploma Level,2024-07-09
ca46c1b9512a7a8315fa3c5a946e8265,214,Statement of Attainment at Graduate Diploma Level,2024-07-09
3b8a614226a953a8cd9526fca6fe9ba5,215,Bridging and Enabling Course at Graduate Diploma Level,2024-07-09
060ad92489947d410d897474079c1477,221,Graduate Certificate,2024-07-09
bcbe3365e6ac95ea2c0343a2395834dd,222,Professional Specialist Qualification at Graduate Certificate Level,2024-07-09
115f89503138416a242f40fb7d7f338e,223,Statement of Attainment at Graduate Certificate Level,2024-07-09
13fe9d84310e77f13a6d184dbf1232f3,224,Bridging and Enabling Course at Graduate Certificate Level,2024-07-09
9dfcd5e558dfa04aaf37f137a1d9d3e5,311,Bachelor (Honours) Degree,2024-07-09
950a4152c2b4aa3ad78bdd6b366cc179,312,Bachelor (Pass) Degree,2024-07-09
158f3069a435b314a80bdcb024f8e422,313,Statement of Attainment at Bachelor Degree Level,2024-07-09
758874998f5bd0c393da094e1967a72b,314,Bridging and Enabling Course at Bachelor Degree Level,2024-07-09
17d63b1625c816c22647a73e1482372b,411,Advanced Diploma,2024-07-09
b9228e0962a78b84f3d5d92f4faa000b,412,Statement of Attainment at Advanced Diploma Level,2024-07-09
0deb1c54814305ca9ad266f53bc82511,413,Associate Degree,2024-07-09
66808e327dc79d135ba18e051673d906,414,Statement of Attainment at Associate Degree Level,2024-07-09
42e7aaa88b48137a16a1acd04ed91125,415,Bridging and Enabling Course at Advanced Diploma and Associate Degree Level,2024-07-09
