Narrow_Level_Key,Narrow_Level,Detailed_Level,Narrow_Level_Date
6512bd43d9caa6e02c990b0a82652dca,11,Doctoral Degree Level,2024-07-09
c20ad4d76fe97759aa27a0c99bff6710,12,Master Degree Level,2024-07-09
3c59dc048e8850243be8079a5c74d079,21,Graduate Diploma Level,2024-07-09
b6d767d2f8ed5d21a44b0e5886680cb9,22,Graduate Certificate Level,2024-07-09
c16a5320fa475530d9583c34fd356ef5,31,Bachelor Degree Level,2024-07-09
3416a75f4cea9109507cacd8e2f2aefc,41,Advanced Diploma and Associate Degree Level,2024-07-09
a1d0c6e83f027327d8461063f4ac58a6,42,Diploma Level,2024-07-09
2838023a778dfaecdc212708f721b788,51,Certificate III & IV Level,2024-07-09
9a1158154dfa42caddbd0694a4e9bdc8,52,Certificate I & II Level,2024-07-09
7f39f8317fbdb1988ef4c628eba02591,61,Senior Secondary Education,2024-07-09
44f683a84163b3523afe57c2e008bc8c,62,Junior Secondary Education,2024-07-09
e2c420d928d4bf8ce0ff2ec19b371514,71,Primary Education,2024-07-09
43ec517d68b6edd3015b3edc9a11367b,81,Pre-primary Education,2024-07-09
54229abfcfa5649e7003b83dd4755294,91,Non-award Courses,2024-07-09
ac627ab1ccbdb62ec96e702f07f6425b,99,Miscellaneous Education,2024-07-09
