SA2_SUA_Key,SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,SUA_CODE_2016,SUA_NAME_2016,SA2_SUA_Date
0ebff9bb4e2719cc9df9ab265c5a3540,101021007,11007,Braidwood,1000,Not in any Significant Urban Area (NSW),2024-07-10
914f5aa0f583d4d0511f307203481dfd,101021008,11008,Karabar,8001,Canberra - Queanbeyan,2024-07-10
bb655828f4b3c8c9ac160eb47ee8f8af,101021009,11009,Queanbeyan,8001,Canberra - Queanbeyan,2024-07-10
c92f4aa6d6e1bfee9de45cbee6f76c69,101021010,11010,Queanbeyan - East,8001,Canberra - Queanbeyan,2024-07-10
24f7ab9d071f9b6cc0bb1b0e992d2101,101021011,11011,Queanbeyan Region,1000,Not in any Significant Urban Area (NSW),2024-07-10
eda9bd5309ee025b6c77ae44ec8ddb4c,101021012,11012,Queanbeyan West - Jerrabomberra,8001,Canberra - Queanbeyan,2024-07-10
51e3ffdde5d25dc72dcdf2e1bda5fb4d,101031013,11013,Bombala,1000,Not in any Significant Urban Area (NSW),2024-07-10
514ec81e18b98dd6d7e0d7c51dd3735b,101031014,11014,Cooma,1000,Not in any Significant Urban Area (NSW),2024-07-10
0434cb79cafaae3f5b28719bca5440a8,101031015,11015,Cooma Region,1000,Not in any Significant Urban Area (NSW),2024-07-10
7b538ca9aabcde0cec62f9e4743c1db2,101031016,11016,Jindabyne - Berridale,1000,Not in any Significant Urban Area (NSW),2024-07-10
0d4b7d5591aca848fc18dd6be85da326,101041017,11017,Batemans Bay,1004,Batemans Bay,2024-07-10
fff84ceb41fc9691380e55401dfc0a06,101041018,11018,Batemans Bay - South,1004,Batemans Bay,2024-07-10
86dd8e16720b242fe6b5ee907958b394,101041019,11019,Bega - Tathra,1000,Not in any Significant Urban Area (NSW),2024-07-10
d0f02aaf0ba407342367be44946318b8,101041020,11020,Bega-Eden Hinterland,1000,Not in any Significant Urban Area (NSW),2024-07-10
892d71059a8b7db78344b1e25976354f,101041021,11021,Broulee - Tomakin,1000,Not in any Significant Urban Area (NSW),2024-07-10
c5337947e6307812594b51d8a5841ddc,101041022,11022,Deua - Wadbilliga,1000,Not in any Significant Urban Area (NSW),2024-07-10
955563ec9c66fbcc904a9cb58a05c151,101041023,11023,Eden,1000,Not in any Significant Urban Area (NSW),2024-07-10
ba201144f5aedc744e7f514874ac01e9,101041024,11024,Eurobodalla Hinterland,1000,Not in any Significant Urban Area (NSW),2024-07-10
cb952ea2fd93466f74a9c520a0c4e0b4,101041025,11025,Merimbula - Tura Beach,1000,Not in any Significant Urban Area (NSW),2024-07-10
cba33da65e914b02835117f6aa60e227,101041026,11026,Moruya - Tuross Head,1000,Not in any Significant Urban Area (NSW),2024-07-10
c3e4f60e82fe70fc0f12c58a96a21127,101041027,11027,Narooma - Bermagui,1000,Not in any Significant Urban Area (NSW),2024-07-10
03a3e229d0f344b393a23576520e6b8f,101051539,11539,Goulburn,1013,Goulburn,2024-07-10
