SA4_Key,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,SA4_Date
84d9ee44e457ddef7f2c4f25dc8fa865,199,No usual address (NSW),19499,No usual address (NSW),1,2024-07-11
2723d092b63885e0d7c260cc007e8b9d,109,Murray,1RNSW,Rest of NSW,1,2024-07-11
5f93f983524def3dca464469d2cf9f3e,110,New England and North West,1RNSW,Rest of NSW,1,2024-07-11
a3c65c2974270fd093ee8a9bf8ae7d0b,108,Mid North Coast,1RNSW,Rest of NSW,1,2024-07-11
da4fb5c6e93e74d3df8527599fa62642,120,Sydney - Inner West,1GSYD,Greater Sydney,1,2024-07-11
6974ce5ac660610b44d9b9fed0ff9548,103,Central West,1RNSW,Rest of NSW,1,2024-07-11
3def184ad8f4755ff269862ea77393dd,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,2024-07-11
7f6ffaa6bb0b408017b62254211691b5,112,Richmond - Tweed,1RNSW,Rest of NSW,1,2024-07-11
4c56ff4ce4aaf9573aa5dff913df997a,121,Sydney - North Sydney and Hornsby,1GSYD,Greater Sydney,1,2024-07-11
07e1cd7dca89a1678042477183b7ac3f,119,Sydney - Inner South West,1GSYD,Greater Sydney,1,2024-07-11
2b44928ae11fb9384c4cf38708677c48,115,Sydney - Baulkham Hills and Hawkesbury,1GSYD,Greater Sydney,1,2024-07-11
c45147dee729311ef5b5c3003946c48f,116,Sydney - Blacktown,1GSYD,Greater Sydney,1,2024-07-11
38b3eff8baf56627478ec76a704e9b52,101,Capital Region,1RNSW,Rest of NSW,1,2024-07-11
c9e1074f5b3f9fc8ea15d152add07294,104,Coffs Harbour - Grafton,1RNSW,Rest of NSW,1,2024-07-11
a97da629b098b75c294dffdc3e463904,107,Illawarra,1RNSW,Rest of NSW,1,2024-07-11
73278a4a86960eeb576a8fd4c9ec6997,113,Riverina,1RNSW,Rest of NSW,1,2024-07-11
c8ffe9a587b126f152ed3d89a146b445,124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,2024-07-11
65b9eea6e1cc6bb9f0cd2a47751a186f,105,Far West and Orana,1RNSW,Rest of NSW,1,2024-07-11
eb160de1de89d9058fcb0b968dbbbd68,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,2024-07-11
202cb962ac59075b964b07152d234b70,123,Sydney - Outer South West,1GSYD,Greater Sydney,1,2024-07-11
ec5decca5ed3d6b8079e2e7e7bacc9f2,127,Sydney - South West,1GSYD,Greater Sydney,1,2024-07-11
f0935e4cd5920aa6c7c996a5ee53a70f,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,2024-07-11
ec8956637a99787bd197eacd77acce5e,102,Central Coast,1GSYD,Greater Sydney,1,2024-07-11
069059b7ef840f0c74a814ec9237b6ec,126,Sydney - Ryde,1GSYD,Greater Sydney,1,2024-07-11
5fd0b37cd7dbbb00f97ba6ce92bf5add,114,Southern Highlands and Shoalhaven,1RNSW,Rest of NSW,1,2024-07-11
698d51a19d8a121ce581499d7b701668,111,Newcastle and Lake Macquarie,1RNSW,Rest of NSW,1,2024-07-11
a0a080f42e6f13b3a2df133f073095dd,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,2024-07-11
