SOSR_Key,SOSR_CODE_2016,SOSR_NAME_2016,SOS_CODE_2016,SOS_NAME_2016,SOSR_Date
1afa34a7f984eeabdbb0a7d494132ee5,131,Remainder of State/Territory,13,Rural Balance,2024-07-10
2b44928ae11fb9384c4cf38708677c48,115,"1,000 to 4,999",11,Other Urban,2024-07-10
ec8956637a99787bd197eacd77acce5e,102,"250,000 to 999,999",10,Major Urban,2024-07-10
a0a080f42e6f13b3a2df133f073095dd,122,200 to 499,12,Bounded Locality,2024-07-10
5fd0b37cd7dbbb00f97ba6ce92bf5add,114,"5,000 to 9,999",11,Other Urban,2024-07-10
4c56ff4ce4aaf9573aa5dff913df997a,121,500 or more,12,Bounded Locality,2024-07-10
73278a4a86960eeb576a8fd4c9ec6997,113,"10,000 to 19,999",11,Other Urban,2024-07-10
7f6ffaa6bb0b408017b62254211691b5,112,"20,000 to 49,999",11,Other Urban,2024-07-10
698d51a19d8a121ce581499d7b701668,111,"50,000 to 99,999",11,Other Urban,2024-07-10
38b3eff8baf56627478ec76a704e9b52,101,1 million or more,10,Major Urban,2024-07-10
8f53295a73878494e9bc8dd6c3c7104f,179,Migratory - Offshore - Shipping (NSW),17,Migratory - Offshore - Shipping (NSW),2024-07-10
84d9ee44e457ddef7f2c4f25dc8fa865,199,No usual address (NSW),19,No usual address (NSW),2024-07-10
eb163727917cbba1eea208541a643e74,211,"50,000 to 99,999",21,Other Urban,2024-07-10
060ad92489947d410d897474079c1477,221,500 or more,22,Bounded Locality,2024-07-10
9b04d152845ec0a378394003c96da594,231,Remainder of State/Territory,23,Rural Balance,2024-07-10
3b8a614226a953a8cd9526fca6fe9ba5,215,"1,000 to 4,999",21,Other Urban,2024-07-10
bcbe3365e6ac95ea2c0343a2395834dd,222,200 to 499,22,Bounded Locality,2024-07-10
ca46c1b9512a7a8315fa3c5a946e8265,214,"5,000 to 9,999",21,Other Urban,2024-07-10
e2c0be24560d78c5e599c2a9c9d0bbd2,203,"100,000 to 249,999",20,Major Urban,2024-07-10
979d472a84804b9f647bc185a877a8b5,213,"10,000 to 19,999",21,Other Urban,2024-07-10
1534b76d325a8f591b52d302e7181331,212,"20,000 to 49,999",21,Other Urban,2024-07-10
757b505cfd34c64c85ca5b5690ee5293,201,1 million or more,20,Major Urban,2024-07-10
d395771085aab05244a4fb8fd91bf4ee,279,Migratory - Offshore - Shipping (Vic.),27,Migratory - Offshore - Shipping (Vic.),2024-07-10
ef0d3930a7b6c95bd2b32ed45989c61f,299,No usual address (Vic.),29,No usual address (Vic.),2024-07-10
34ed066df378efacc9b924ec161e7639,301,1 million or more,30,Major Urban,2024-07-10
6da37dd3139aa4d9aa55b8d237ec5d4a,331,Remainder of State/Territory,33,Rural Balance,2024-07-10
758874998f5bd0c393da094e1967a72b,314,"5,000 to 9,999",31,Other Urban,2024-07-10
ad13a2a07ca4b7642959dc0c4c740ab6,315,"1,000 to 4,999",31,Other Urban,2024-07-10
5737c6ec2e0716f3d8a7a5c4e0de0d9a,322,200 to 499,32,Bounded Locality,2024-07-10
caf1a3dfb505ffed0d024130f58c5cfa,321,500 or more,32,Bounded Locality,2024-07-10
11b9842e0a271ff252c1903e7132cd68,303,"100,000 to 249,999",30,Major Urban,2024-07-10
158f3069a435b314a80bdcb024f8e422,313,"10,000 to 19,999",31,Other Urban,2024-07-10
9dfcd5e558dfa04aaf37f137a1d9d3e5,311,"50,000 to 99,999",31,Other Urban,2024-07-10
950a4152c2b4aa3ad78bdd6b366cc179,312,"20,000 to 49,999",31,Other Urban,2024-07-10
577bcc914f9e55d5e4e4f82f9f00e7d4,302,"250,000 to 999,999",30,Major Urban,2024-07-10
a02ffd91ece5e7efeb46db8f10a74059,379,Migratory - Offshore - Shipping (Qld),37,Migratory - Offshore - Shipping (Qld),2024-07-10
