key,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016
64ce463c6856e0e3867dea50033e8a29,19999,No usual address (NSW),199,No usual address (NSW),19499,No usual address (NSW),1,New South Wales
25d9e7c1134b5a3744cd1dea4072d6a2,10901,Albury,109,Murray,1RNSW,Rest of NSW,1,New South Wales
64254db8396e404d9223914a0bd355d2,11001,Armidale,110,New England and North West,1RNSW,Rest of NSW,1,New South Wales
de9d96171258bf940fc7b77c09b1cde4,10802,Kempsey - Nambucca,108,Mid North Coast,1RNSW,Rest of NSW,1,New South Wales
d2a9aaedbe3616c7be11e07856c29e2a,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,1GSYD,Greater Sydney,1,New South Wales
61a10e6abb1149ad9d08f303267f9bc4,10304,Orange,103,Central West,1RNSW,Rest of NSW,1,New South Wales
7fb89619c7a1215bebdd9f53c27fe39e,12501,Auburn,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales
dc1d3cb9517bda57aacd65f5b1986c6e,11201,Richmond Valley - Coastal,112,Richmond - Tweed,1RNSW,Rest of NSW,1,New South Wales
fe998b49c41c4208c968bce204fa1cbb,11202,Richmond Valley - Hinterland,112,Richmond - Tweed,1RNSW,Rest of NSW,1,New South Wales
2ffe95614e083e7091c76b4c1e0c4f88,10902,Lower Murray,109,Murray,1RNSW,Rest of NSW,1,New South Wales
c728615c8a166f73ec481b345cac1e84,12102,Hornsby,121,Sydney - North Sydney and Hornsby,1GSYD,Greater Sydney,1,New South Wales
108f6a48835ed848b3ec66c2d0afd568,11901,Bankstown,119,Sydney - Inner South West,1GSYD,Greater Sydney,1,New South Wales
63f35343d6f9681cad0598452a17f0df,11902,Canterbury,119,Sydney - Inner South West,1GSYD,Greater Sydney,1,New South Wales
4cd31d31e16ac873f5f421d5880e88d6,10804,Port Macquarie,108,Mid North Coast,1RNSW,Rest of NSW,1,New South Wales
d70538d0bcd4bacb90ae29025815166f,12503,Merrylands - Guildford,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales
b1f130b49d0fcfa2348098ee4467452f,10301,Bathurst,103,Central West,1RNSW,Rest of NSW,1,New South Wales
d78bded526b07ede88675c6412d63f3d,10303,Lithgow - Mudgee,103,Central West,1RNSW,Rest of NSW,1,New South Wales
