Minor_Group_Key,Minor_Group,Description,Predominant_Skill_Levels,Minor_Group_Date
698d51a19d8a121ce581499d7b701668,111,"Chief Executives, General Managers and Legislators",1,2024-07-11
4c56ff4ce4aaf9573aa5dff913df997a,121,Farmers and Farm Managers,1,2024-07-11
1afa34a7f984eeabdbb0a7d494132ee5,131,"Advertising, Public Relations and Sales Managers",1,2024-07-11
65ded5353c5ee48d0b7d48c591b8f430,132,Business Administration Managers,1,2024-07-11
9fc3d7152ba9336a670e36d0ed79bc43,133,"Construction, Distribution and Production Managers",1,2024-07-11
02522a2b2726fb0a03bb19f2d8d9524d,134,"Education, Health and Welfare Services Managers",1,2024-07-11
7f1de29e6da19d22b51c68001e7e0e54,135,ICT Managers,1,2024-07-11
e00da03b685a0dd18fb6a08af0923de0,139,Miscellaneous Specialist Managers,1,2024-07-11
0f28b5d49b3020afeecd95b4009adf4c,141,Accommodation and Hospitality Managers,2,2024-07-11
a8baa56554f96369ab93e4f3bb068c22,142,Retail Managers,2,2024-07-11
f2217062e9a397a1dca429e7d70bc6ca,149,"Miscellaneous Hospitality, Retail and Service Managers",2,2024-07-11
eb163727917cbba1eea208541a643e74,211,Arts Professionals,"1,2",2024-07-11
1534b76d325a8f591b52d302e7181331,212,Media Professionals,1,2024-07-11
060ad92489947d410d897474079c1477,221,"Accountants, Auditors and Company Secretaries",1,2024-07-11
bcbe3365e6ac95ea2c0343a2395834dd,222,"Financial Brokers and Dealers, and Investment Advisers","1,2",2024-07-11
115f89503138416a242f40fb7d7f338e,223,Human Resource and Training Professionals,1,2024-07-11
13fe9d84310e77f13a6d184dbf1232f3,224,Information and Organisation Professionals,1,2024-07-11
d1c38a09acc34845c6be3a127a5aacaf,225,"Sales, Marketing and Public Relations Professionals",1,2024-07-11
9b04d152845ec0a378394003c96da594,231,Air and Marine Transport Professionals,"1,2",2024-07-11
be83ab3ecd0db773eb2dc1b0a17836a1,232,"Architects, Designers, Planners and Surveyors",1,2024-07-11
e165421110ba03099a1c0393373c5b43,233,Engineering Professionals,1,2024-07-11
289dff07669d7a23de0ef88d2f7129e7,234,Natural and Physical Science Professionals,1,2024-07-11
f340f1b1f65b6df5b5e3f94d95b11daf,241,School Teachers,1,2024-07-11
e4a6222cdb5b34375400904f03d8e6a5,242,Tertiary Education Teachers,1,2024-07-11
077e29b11be80ab57e1a2ecabb7da330,249,Miscellaneous Education Professionals,1,2024-07-11
19f3cd308f1455b3fa09a282e0d496f4,251,Health Diagnostic and Promotion Professionals,1,2024-07-11
03c6b06952c750899bb03d998e631860,252,Health Therapy Professionals,1,2024-07-11
c24cd76e1ce41366a4bbe8a49b02a028,253,Medical Practitioners,1,2024-07-11
c52f1bd66cc19d05628bd8bf27af3ad6,254,Midwifery and Nursing Professionals,1,2024-07-11
b1a59b315fc9a3002ce38bbe070ec3f5,261,"Business and Systems Analysts, and Programmers",1,2024-07-11
36660e59856b4de58a219bcf4e27eba3,262,"Database and Systems Administrators, and ICT Security Specialists",1,2024-07-11
8c19f571e251e61cb8dd3612f26d5ecf,263,ICT Network and Support Professionals,1,2024-07-11
7f100b7b36092fb9b06dfb4fac360931,271,Legal Professionals,1,2024-07-11
7a614fd06c325499f1680b9896beedeb,272,Social and Welfare Professionals,1,2024-07-11
9dfcd5e558dfa04aaf37f137a1d9d3e5,311,"Agricultural, Medical and Science Technicians","2,3",2024-07-11
950a4152c2b4aa3ad78bdd6b366cc179,312,Building and Engineering Technicians,2,2024-07-11
158f3069a435b314a80bdcb024f8e422,313,ICT and Telecommunications Technicians,2,2024-07-11
caf1a3dfb505ffed0d024130f58c5cfa,321,Automotive Electricians and Mechanics,3,2024-07-11
5737c6ec2e0716f3d8a7a5c4e0de0d9a,322,Fabrication Engineering Trades Workers,3,2024-07-11
bc6dc48b743dc5d013b1abaebd2faed2,323,Mechanical Engineering Trades Workers,3,2024-07-11
