Sub_Major_Group_Key,Sub_Major_Group,Description,Predominant_Skill_Levels,Sub_Major_Group_Date
6512bd43d9caa6e02c990b0a82652dca,11,"Chief Executives, General Managers and Legislators",1,2024-07-11
c20ad4d76fe97759aa27a0c99bff6710,12,Farmers and Farm Managers,1,2024-07-11
c51ce410c124a10e0db5e4b97fc2af39,13,Specialist Managers,1,2024-07-11
aab3238922bcc25a6f606eb525ffdc56,14,"Hospitality, Retail and Service Managers",2,2024-07-11
3c59dc048e8850243be8079a5c74d079,21,Arts and Media Professionals,"1,2",2024-07-11
b6d767d2f8ed5d21a44b0e5886680cb9,22,"Business, Human Resource and Marketing Professionals",1,2024-07-11
37693cfc748049e45d87b8c7d8b9aacd,23,"Design, Engineering, Science and Transport Professionals","1,2",2024-07-11
1ff1de774005f8da13f42943881c655f,24,Education Professionals,1,2024-07-11
8e296a067a37563370ded05f5a3bf3ec,25,Health Professionals,1,2024-07-11
4e732ced3463d06de0ca9a15b6153677,26,ICT Professionals,1,2024-07-11
02e74f10e0327ad868d138f2b4fdd6f0,27,"Legal, Social and Welfare Professionals",1,2024-07-11
c16a5320fa475530d9583c34fd356ef5,31,"Engineering, ICT and Science Technicians","2,3",2024-07-11
6364d3f0f495b6ab9dcf8d3b5c6e0b01,32,Automotive and Engineering Trades Workers,3,2024-07-11
182be0c5cdcd5072bb1864cdee4d3d6e,33,Construction Trades Workers,3,2024-07-11
e369853df766fa44e1ed0ff613f563bd,34,Electrotechnology and Telecommunications Trades Workers,3,2024-07-11
1c383cd30b7c298ab50293adfecb7b18,35,Food Trades Workers,"2,3,4",2024-07-11
19ca14e7ea6328a42e0eb13d585e4c22,36,Skilled Animal and Horticultural Workers,"3,4",2024-07-11
d67d8ab4f4c10bf22aa353e27879133c,39,Other Technicians and Trades Workers,3,2024-07-11
3416a75f4cea9109507cacd8e2f2aefc,41,Health and Welfare Support Workers,"1,2",2024-07-11
a1d0c6e83f027327d8461063f4ac58a6,42,Carers and Aides,"3,4",2024-07-11
17e62166fc8586dfa4d1bc0e1742c08b,43,Hospitality Workers,"2,4,5",2024-07-11
f7177163c833dff4b38fc8d2872f1ec6,44,Protective Service Workers,"2,3,4,5",2024-07-11
6c8349cc7260ae62e3b1396831a8398f,45,Sports and Personal Service Workers,"3,4",2024-07-11
2838023a778dfaecdc212708f721b788,51,Office Managers and Program Administrators,2,2024-07-11
9a1158154dfa42caddbd0694a4e9bdc8,52,Personal Assistants and Secretaries,2,2024-07-11
d82c8d1619ad8176d665453cfb2e55f0,53,General Clerical Workers,4,2024-07-11
a684eceee76fc522773286a895bc8436,54,Inquiry Clerks and Receptionists,4,2024-07-11
b53b3a3d6ab90ce0268229151c9bde11,55,Numerical Clerks,"3,4",2024-07-11
9f61408e3afb633e50cdf1b20de6f466,56,Clerical and Office Support Workers,5,2024-07-11
093f65e080a295f8076b1c5722a46aa2,59,Other Clerical and Administrative Workers,"3,4",2024-07-11
7f39f8317fbdb1988ef4c628eba02591,61,Sales Representatives and Agents,"3,4",2024-07-11
44f683a84163b3523afe57c2e008bc8c,62,Sales Assistants and Salespersons,5,2024-07-11
03afdbd66e7929b125f8597834fa83a4,63,Sales Support Workers,5,2024-07-11
e2c420d928d4bf8ce0ff2ec19b371514,71,Machine and Stationary Plant Operators,"3,4",2024-07-11
32bb90e8976aab5298d5da10fe66f21d,72,Mobile Plant Operators,4,2024-07-11
d2ddea18f00665ce8623e36bd4e3c7c5,73,Road and Rail Drivers,4,2024-07-11
ad61ab143223efbc24c7d2583be69251,74,Storepersons,4,2024-07-11
43ec517d68b6edd3015b3edc9a11367b,81,Cleaners and Laundry Workers,"4,5",2024-07-11
9778d5d219c5080b9a6a17bef029331c,82,Construction and Mining Labourers,"4,5",2024-07-11
fe9fc289c3ff0af142b6d3bead98a923,83,Factory Process Workers,"4,5",2024-07-11
68d30a9594728bc39aa24be94b319d21,84,"Farm, Forestry and Garden Workers",5,2024-07-11
3ef815416f775098fe977004015c6193,85,Food Preparation Assistants,5,2024-07-11
7647966b7343c29048673252e490f736,89,Other Labourers,5,2024-07-11
