Unit_Group_Key,Unit_Group,Description,Skill_Levels,Unit_Group_Date
b59c67bf196a4758191e42f76670ceba,1111,Chief Executives and Managing Directors,1,2024-07-09
20d135f0f28185b84a4cf7aa51f29500,1112,General Managers,1,2024-07-09
9c3b1830513cc3b8fc4b76635d32e692,1113,Legislators,1,2024-07-09
285ab9448d2751ee57ece7f762c39095,1211,Aquaculture Farmers,1,2024-07-09
a01610228fe998f515a72dd730294d87,1212,Crop Farmers,1,2024-07-09
33ceb07bf4eeb3da587e268d663aba1a,1213,Livestock Farmers,1,2024-07-09
c8ba76c279269b1c6bc8a07e38e78fa4,1214,Mixed Crop and Livestock Farmers,1,2024-07-09
7bb060764a818184ebb1cc0d43d382aa,1311,"Advertising, Public Relations and Sales Managers",1,2024-07-09
f9be311e65d81a9ad8150a60844bb94c,1321,Corporate Services Managers,1,2024-07-09
dc960c46c38bd16e953d97cdeefdbc68,1322,Finance Managers,1,2024-07-09
4671aeaf49c792689533b00664a5c3ef,1323,Human Resource Managers,1,2024-07-09
bb7946e7d85c81a9e69fee1cea4a087c,1324,Policy and Planning Managers,1,2024-07-09
3546ab441e56fa333f8b44b610d95691,1325,Research and Development Managers,1,2024-07-09
e077e1a544eec4f0307cf5c3c721d944,1331,Construction Managers,1,2024-07-09
28e209b61a52482a0ae1cb9f5959c792,1332,Engineering Managers,1,2024-07-09
ff49cc40a8890e6a60f40ff3026d2730,1333,"Importers, Exporters and Wholesalers",1,2024-07-09
8edd72158ccd2a879f79cb2538568fdc,1334,Manufacturers,1,2024-07-09
9cb67ffb59554ab1dabb65bcb370ddd9,1335,Production Managers,1,2024-07-09
3d779cae2d46cf6a8a99a35ba4167977,1336,"Supply, Distribution and Procurement Managers",1,2024-07-09
33ebd5b07dc7e407752fe773eed20635,1341,Child Care Centre Managers,1,2024-07-09
5e1b18c4c6a6d31695acbae3fd70ecc6,1342,Health and Welfare Services Managers,1,2024-07-09
674bfc5f6b72706fb769f5e93667bd23,1343,School Principals,1,2024-07-09
a50abba8132a77191791390c3eb19fe7,1344,Other Education Managers,1,2024-07-09
3e313b9badf12632cdae5452d20e1af6,1351,ICT Managers,1,2024-07-09
7f53f8c6c730af6aeb52e66eb74d8507,1391,Commissioned Officers (Management),1,2024-07-09
c0826819636026dd1f3674774f06c51d,1392,Senior Non-commissioned Defence Force Members,1,2024-07-09
602d1305678a8d5fdb372271e980da6a,1399,Other Specialist Managers,1,2024-07-09
54072f485cdb7897ebbcaf7525139561,1411,Cafe and Restaurant Managers,2,2024-07-09
0e4e946668cf2afc4299b462b812caca,1412,Caravan Park and Camping Ground Managers,2,2024-07-09
59f51fd6937412b7e56ded1ea2470c25,1413,Hotel and Motel Managers,2,2024-07-09
7a674153c63cff1ad7f0e261c369ab2c,1414,Licensed Club Managers,2,2024-07-09
30c8e1ca872524fbf7ea5c519ca397ee,1419,Other Accommodation and Hospitality Managers,2,2024-07-09
9aa42b31882ec039965f3c4923ce901b,1421,Retail Managers,2,2024-07-09
226d1f15ecd35f784d2a20c3ecf56d7f,1491,"Amusement, Fitness and Sports Centre Managers",2,2024-07-09
e655c7716a4b3ea67f48c6322fc42ed6,1492,Call or Contact Centre and Customer Service Managers,2,2024-07-09
1714726c817af50457d810aae9d27a2e,1493,Conference and Event Organisers,2,2024-07-09
fcdf25d6e191893e705819b177cddea0,1494,Transport Services Managers,2,2024-07-09
6490791e7abf6b29a381288cc23a8223,1499,"Other Hospitality, Retail and Service Managers",2,2024-07-09
1a0a283bfe7c549dee6c638a05200e32,2111,"Actors, Dancers and Other Entertainers",1,2024-07-09
a29d1598024f9e87beab4b98411d48ce,2112,Music Professionals,1,2024-07-09
01931a6925d3de09e5f87419d9d55055,2113,Photographers,2,2024-07-09
51174add1c52758f33d414ceaf3fe6ba,2114,Visual Arts and Crafts Professionals,"1,2",2024-07-09
02b1be0d48924c327124732726097157,2121,"Artistic Directors, and Media Producers and Presenters",1,2024-07-09
abdbeb4d8dbe30df8430a8394b7218ef,2122,"Authors, and Book and Script Editors",1,2024-07-09
5a1e3a5aede16d438c38862cac1a78db,2123,"Film, Television, Radio and Stage Directors",1,2024-07-09
