FOR_Fields_Key,FOR_Field,FOR_Description,FOR_Fields_Time
877d33784c3574022bfe44c66080d866,300101,Agricultural biotechnology diagnostics (incl. biosensors),2024-07-10
1a6b83c06b85f3c579742923a1295fa3,300102,Agricultural marine biotechnology,2024-07-10
f9ec9d60bb6a5c3a4ce5c54a28ddc499,300103,Agricultural molecular engineering of nucleic acids and proteins,2024-07-10
953e2f0a93a30221798d30c8f0050df4,300104,Genetically modified animals,2024-07-10
955f20ca6d97a6ada269642f788ad263,300105,Genetically modified field crops and pasture,2024-07-10
b8ac763f7a5a88f5d8441b65c3f4c723,300106,Genetically modified horticulture plants,2024-07-10
6a3cc3b31251b9e04d59c3b1852b75d4,300107,Genetically modified trees,2024-07-10
8290b076955d65182219ca66b6c3b035,300108,Livestock cloning,2024-07-10
1b778b5025f0c936cc4133ca8f6e724e,300109,Non-genetically modified uses of biotechnology,2024-07-10
2562ba62146b46a48359164b7d6f968e,300110,Transgenesis,2024-07-10
6787188cad87d164e5499ae8984ce6ea,300199,Agricultural biotechnology not elsewhere classified,2024-07-10
b03f8769c04bf761ba1d1283d7e2cf85,300201,Agricultural hydrology,2024-07-10
2bcd46e689be764907a128535d42ddc7,300202,Agricultural land management,2024-07-10
d5a5bcba61f215ea5c0b4b2fe82ed608,300203,Agricultural land planning,2024-07-10
1125e42552e5ee699d3df0b5a85fdb7f,300204,Agricultural management of nutrients,2024-07-10
16f212926ae0c63fb2e2e63193810bf3,300205,Agricultural production systems simulation,2024-07-10
d32e85aec7552ab4f0aa337ba77b68f8,300206,Agricultural spatial analysis and modelling,2024-07-10
67296f3654c7d04d6c91fb06c9484533,300207,Agricultural systems analysis and modelling,2024-07-10
b4548090b5b55f94f13ba43b4a47cd73,300208,"Farm management, rural management and agribusiness",2024-07-10
e3bec123aff2d5b2847832957f0901bd,300209,Germplasm management,2024-07-10
7fda692ba03eb279a4e88778f4dab3ab,300210,Sustainable agricultural development,2024-07-10
a9dc9cb1f2cfa6e681af8b0a55af1b6b,300299,"Agriculture, land and farm management not elsewhere classified",2024-07-10
cd87e2bc6b55c371e7cd41fc79550531,300301,Animal growth and development,2024-07-10
14f5c9b159a5627fd2b33e5e57bd9924,300302,Animal management,2024-07-10
79a6c8de4c278c4b0b852668f507b7df,300303,Animal nutrition,2024-07-10
cd2bcb429305454c6e795e0084e41642,300304,Animal protection (incl. pests and pathogens),2024-07-10
f17cee7cd9d516092c5123155138eb7d,300305,Animal reproduction and breeding,2024-07-10
c0c468f34eed4f9a5ae88b2d614963b5,300306,Animal welfare,2024-07-10
4602f1036c27574cda0ab2363e473b0e,300307,Environmental studies in animal production,2024-07-10
4a5fd6d06810eba0b02c3b0e8dab94ae,300399,Animal production not elsewhere classified,2024-07-10
e0d27e3032f6e8b09f336361d8cdd079,300401,Agrochemicals and biocides (incl. application),2024-07-10
3f6be682368a07940c7afc2c1cac1571,300402,Agro-ecosystem function and prediction,2024-07-10
0f8e651c488c2a2d0bb417af92c88609,300403,Agronomy,2024-07-10
a8e6fa0d1d9a58bfa1883cde5e9d31d7,300404,Crop and pasture biochemistry and physiology,2024-07-10
d89c6c20f733f3d577d5e25b908ac572,300405,Crop and pasture biomass and bioproducts,2024-07-10
5582718991467ffefefcb5022a44d3e1,300406,Crop and pasture improvement (incl. selection and breeding),2024-07-10
911381fd5efdb21262d8610ee95312da,300407,Crop and pasture nutrition,2024-07-10
5c5fd9bdd2872d586c9918f9fadeb1bb,300408,Crop and pasture post harvest technologies (incl. transportation and storage),2024-07-10
bc59c8bd6a61c7fe4c1daaeffaadecc5,300409,"Crop and pasture protection (incl. pests, diseases and weeds)",2024-07-10
40d34e76b38ada56ebc9fbb9717ccc47,300410,Crop and pasture waste water use,2024-07-10
f6150ba70969efb08b727cf6da33e9df,300411,Fertilisers (incl. application),2024-07-10
bee87feede9f9231ba12260bc3f63bcc,300412,Organic and low chemical input crop production,2024-07-10
c0ce30855c7d9e71e2967cc21e9324a2,300413,Pollination biology and systems,2024-07-10
705d98252023443f667181b25b71c2b2,300499,Crop and pasture production not elsewhere classified,2024-07-10
5857f9a37e5fcb411183541a8bc250d0,300501,Aquaculture,2024-07-10
fd7e0616e699e41dc4ef3b4f8af649aa,300502,Aquaculture and fisheries stock assessment,2024-07-10
22aef2a6748ffb4853c2e0a9127654d1,300503,Fish pests and diseases,2024-07-10
c45529268023b4527f924c79fd911847,300504,Fish physiology and genetics,2024-07-10
5607d3944efafb04a7544615236a5144,300505,Fisheries management,2024-07-10
4635c381e4b04a3af3ee85d3220516be,300506,Post-harvest fisheries technologies (incl. transportation),2024-07-10
837a65f8bcbd2993c7df65557e55d699,300599,Fisheries sciences not elsewhere classified,2024-07-10
5fff2ac00a125c78d75320d8a55cd1d8,300601,Beverage chemistry and beverage sensory science,2024-07-10
95d8587c3cbd6b20de81573fac33d24c,300602,Food chemistry and food sensory science,2024-07-10
7cec981be84e8b17c2fc8b90d2223463,300603,Food nutritional balance,2024-07-10
c6696f131814f62b6855fcc443ac321b,300604,"Food packaging, preservation and processing",2024-07-10
401c351942ddfd0c24e69e728d9beced,300605,"Food safety, traceability, certification and authenticity",2024-07-10
69c6372ae11805797eab504f32bd22c5,300606,Food sustainability,2024-07-10
df837798339815bc74c84b36d4d7169b,300607,Food technology,2024-07-10
a455843d793d2115342d1ace5c6469de,300699,Food sciences not elsewhere classified,2024-07-10
71ddcd447034d83c586e77cd00fc5d54,300701,Agroforestry,2024-07-10
c8c477c7361b3fb5c2bbed2d561f240c,300702,Forest biodiversity,2024-07-10
e817ace3fff08334e8a7a9a582078ce4,300703,Forest ecosystems,2024-07-10
8545dcfbfaeb58bea977d3b8b1f614b1,300704,Forest health and pathology,2024-07-10
d60a5e039b0b6779e685521535e4cdf4,300705,Forestry biomass and bioproducts,2024-07-10
d97dacc5f22d11680f0783a8587c6459,300706,Forestry fire management,2024-07-10
6f70f0c780a631fe2d52e22f6ece58da,300707,Forestry management and environment,2024-07-10
f57d62c80e30030a69229461a7bbc700,300708,Forestry product quality assessment,2024-07-10
0c2f9dca45024d031119c21f78eb55c8,300709,Tree improvement (incl. selection and breeding),2024-07-10
c264c9e8ba8e4816932a193a08cd9ac3,300710,Tree nutrition and physiology,2024-07-10
00f403b44f997af1c6042d2ed7dd6401,300711,Wood fibre processing,2024-07-10
2e9e6b1e67e2e5dbf6ef47510370a809,300712,Wood processing,2024-07-10
e3a24020842458f18a164eae6ac10741,300799,Forestry sciences not elsewhere classified,2024-07-10
2d683f8e9489ff56f4e24cbb77cd2ec3,300801,Field organic and low chemical input horticulture,2024-07-10
42e82d9c2dc62330e5c3309448ac29dc,300802,Horticultural crop growth and development,2024-07-10
d3bbd081c77e65db07554d2fd911f03d,300803,Horticultural crop improvement (incl. selection and breeding),2024-07-10
a5a659a96eaa6c6dd5536a617b5bf55a,300804,"Horticultural crop protection (incl. pests, diseases and weeds)",2024-07-10
cc13e23176cdcc2e8958ffd1efad386f,300805,Oenology and viticulture,2024-07-10
b603d8bf427937b5b76d8a510d1381da,300806,Post harvest horticultural technologies (incl. transportation and storage),2024-07-10
383a600eec8be859fed17eace20468c2,300899,Horticultural production not elsewhere classified,2024-07-10
0bd65bc51c5e674a23a66d0b69ecb50c,300901,Veterinary anaesthesiology and intensive care,2024-07-10
0b436c4b57e816731ac5f12264b3672f,300902,Veterinary anatomy and physiology,2024-07-10
6144e85c0d1a95e9cfeaf228ec38f3d4,300903,Veterinary bacteriology,2024-07-10
1e2908ed5d778e8b463c4a2efd4dd550,300904,Veterinary diagnosis and diagnostics,2024-07-10
ce6646da0162a27c4e0e23217254bc06,300905,Veterinary epidemiology,2024-07-10
2ee24f77178bb04adbee1a9da035ec13,300906,Veterinary immunology,2024-07-10
f616531d7c59720ec0e0ca0a2c6db1f0,300907,Veterinary medicine (excl. urology),2024-07-10
2af9bf9c9684295546c8d7ec87dbafbc,300908,Veterinary mycology,2024-07-10
c09f3de6c24ece5ffd37578a78bc1356,300909,Veterinary parasitology,2024-07-10
f3a7bef39658233224d8eea622d2b060,300910,Veterinary pathology,2024-07-10
3f964e8748f1e1fc447bce364e410784,300911,Veterinary pharmacology,2024-07-10
4cda1bec92d107d650fae843b43d4f0c,300912,Veterinary surgery,2024-07-10
4edb741116c40fac4a66b6c4616449cb,300913,Veterinary urology,2024-07-10
813cc69edd76cf20a0d1283f8405b164,300914,Veterinary virology,2024-07-10
a07188bd33441bdccf4e59fc34fa28fb,300999,Veterinary sciences not elsewhere classified,2024-07-10
3c20677d635a8a0b6c0d78e12f49e7bf,309999,"Other agricultural, veterinary and food sciences not elsewhere classified",2024-07-10
508648865001185b6a704e553c44b0d7,310101,Analytical biochemistry,2024-07-10
b2912010efe7a6658b0ab58da33ae422,310102,"Cell development, proliferation and death",2024-07-10
885365d9c7462cd577f3931e3347ff17,310103,Cell metabolism,2024-07-10
c0b4314adf70546f7f8041c2a3aa1c22,310104,Cell neurochemistry,2024-07-10
5610c71250b0380812f995ac607c8288,310105,"Cellular interactions (incl. adhesion, matrix, cell wall)",2024-07-10
d8a7f42c46134b358c12245625061aef,310106,Enzymes,2024-07-10
a528d2ac37844c13eb84eb1bc425b61a,310107,Glycobiology,2024-07-10
c6ac080df238a167674a4914fcefbfa5,310108,Protein trafficking,2024-07-10
19e51305f4926559333371ae20d27517,310109,Proteomics and intermolecular interactions (excl. medical proteomics),2024-07-10
947a9a0ebf8dec4f61a948b1fbd1ef4d,310110,Receptors and membrane biology,2024-07-10
a4320c8e3dc927203e2b1b0855de1cd9,310111,Signal transduction,2024-07-10
84bc610dd56be029b539b2c790c3bc72,310112,Structural biology (incl. macromolecular modelling),2024-07-10
207b5878ebb57a63166ec77125740444,310113,Synthetic biology,2024-07-10
2b343d7f02c7b6a476a37cb0b7d1241f,310114,Systems biology,2024-07-10
675c5de10230015a6d39cd562721f4ae,310199,Biochemistry and cell biology not elsewhere classified,2024-07-10
a8182019ea0f5a64f0855beb0fcec4d0,310201,Bioinformatic methods development,2024-07-10
b576e0b3446baa0987cf00701592d004,310202,Biological network analysis,2024-07-10
814eb6030ac2fcfc4229b598f3f5af26,310203,Computational ecology and phylogenetics,2024-07-10
cc095f0262dc619eeb5e9c8a6da368f6,310204,Genomics and transcriptomics,2024-07-10
bb82609bac8abe255217a273127fc117,310205,Proteomics and metabolomics,2024-07-10
caa651da7e3807cbeac8ec2f40643677,310206,Sequence analysis,2024-07-10
eefa8b7df4035e464e6b451030941d88,310207,Statistical and quantitative genetics,2024-07-10
