FOR_Groups_Key,FOR_Group,FOR_Field,FOR_Groups_Time
908c9a564a86426585b29f5335b619bc,3001,Agricultural biotechnology,2024-07-11
d806ca13ca3449af72a1ea5aedbed26a,3002,"Agriculture, land and farm management",2024-07-11
a4380923dd651c195b1631af7c829187,3003,Animal production,2024-07-11
20479c788fb27378c2c99eadcf207e7f,3004,Crop and pasture production,2024-07-11
3a61ed715ee66c48bacf237fa7bb5289,3005,Fisheries sciences,2024-07-11
5f268dfb0fbef44de0f668a022707b86,3006,Food sciences,2024-07-11
a724b9124acc7b5058ed75a31a9c2919,3007,Forestry sciences,2024-07-11
c02f9de3c2f3040751818aacc7f60b74,3008,Horticultural production,2024-07-11
ee16fa83c0f151ef85e617f5aa3867a6,3009,Veterinary sciences,2024-07-11
b23f52202479e957b9bada847c1175d7,3099,"Other agricultural, veterinary and food sciences",2024-07-11
62f91ce9b820a491ee78c108636db089,3101,Biochemistry and cell biology,2024-07-11
c5d9256689c43036581f781c61f26e50,3102,Bioinformatics and computational biology,2024-07-11
96629f1aac6ddb7a7cfa82574b6722d4,3103,Ecology,2024-07-11
75b9b6dc7fe44437c6e0a69fd863dbab,3104,Evolutionary biology,2024-07-11
37e7897f62e8d91b1ce60515829ca282,3105,Genetics,2024-07-11
4aec1b3435c52abbdf8334ea0e7141e0,3106,Industrial biotechnology,2024-07-11
1cfead9959b76ce44a847c850b61c587,3107,Microbiology,2024-07-11
ffbd6cbb019a1413183c8d08f2929307,3108,Plant biology,2024-07-11
d4a897919a124958e699170b2b1dc8f2,3109,Zoology,2024-07-11
b59307fdacf7b2db12ec4bd5ca1caba8,3199,Other biological sciences,2024-07-11
24ec8468b67314c2013d215b77034476,3201,Cardiovascular medicine and haematology,2024-07-11
7486cef2522ee03547cfb970a404a874,3202,Clinical sciences,2024-07-11
799de6d3dae4c924142cf245a1d7f703,3203,Dentistry,2024-07-11
640258597cbc50037072712f964cf5d8,3204,Immunology,2024-07-11
9ef2ed4b7fd2c810847ffa5fa85bce38,3205,Medical biochemistry and metabolomics,2024-07-11
211ed78fe91938b90f84a51944b08d5a,3206,Medical biotechnology,2024-07-11
d77e68596c15c53c2a33ad143739902d,3207,Medical microbiology,2024-07-11
2ef248c04979d6b3a7b283ec3dc32cca,3208,Medical physiology,2024-07-11
1271a7029c9df08643b631b02cf9e116,3209,Neurosciences,2024-07-11
731309c4bb223491a9f67eac5214fb2e,3210,Nutrition and dietetics,2024-07-11
6b620aedfa4cf153467265629501dd61,3211,Oncology and carcinogenesis,2024-07-11
0aae0fede9a4d278e2f9a171e62fc76b,3212,Ophthalmology and optometry,2024-07-11
9bd5ee6fe55aaeb673025dbcb8f939c1,3213,Paediatrics,2024-07-11
