SEO_Groups_Key,SEO_Group,SEO_Objective,SEO_Groups_Time
b8c37e33defde51cf91e1e03e51657da,1001,Environmentally sustainable animal production,2024-07-10
fba9d88164f3e2d9109ee770223212a0,1002,Fisheries - aquaculture,2024-07-10
aa68c75c4a77c87f97fb686b2f068676,1003,Fisheries - wild caught,2024-07-10
fed33392d3a48aa149a87a38b875ba4a,1004,Livestock raising,2024-07-10
2387337ba1e0b0249ba90f55b2ba2521,1005,"Pasture, browse and fodder crops",2024-07-10
9246444d94f081e3549803b928260f56,1006,Primary products from animals,2024-07-10
a0160709701140704575d499c997b6ca,1099,Other animal production and animal primary products,2024-07-10
c6bff625bdb0393992c9d4db0c6bbe45,1101,Environmentally sustainable commercial services and tourism,2024-07-10
c667d53acd899a97a85de0c201ba99be,1102,Financial services,2024-07-10
aace49c7d80767cffec0e513ae886df0,1103,"Property, business support services and trade",2024-07-10
4da04049a062f5adfe81b67dd755cecc,1104,Tourism services,2024-07-10
af21d0c97db2e27e13572cbf59eb343d,1105,Water and waste services,2024-07-10
4d2e7bd33c475784381a64e43e50922f,1199,Other commercial services and tourism,2024-07-10
7501e5d4da87ac39d782741cd794002d,1201,Building management and services,2024-07-10
147702db07145348245dc5a2f2fe5683,1202,Construction design,2024-07-10
491442df5f88c6aa018e86dac21d3606,1203,Construction materials performance and processes,2024-07-10
fb2fcd534b0ff3bbed73cc51df620323,1204,Construction planning,2024-07-10
b571ecea16a9824023ee1af16897a582,1205,Construction processes,2024-07-10
144a3f71a03ab7c4f46f9656608efdb2,1206,Environmentally sustainable construction activities,2024-07-10
a0833c8a1817526ac555f8d67727caf6,1299,Other construction,2024-07-10
2df45244f09369e16ea3f9117ca45157,1301,Arts,2024-07-10
996009f2374006606f4c0b0fda878af1,1302,Communication,2024-07-10
d282ef263719ab842e05382dc235f69e,1303,Ethics,2024-07-10
5caf41d62364d5b41a893adc1a9dd5d4,1304,Heritage,2024-07-10
fd5c905bcd8c3348ad1b35d7231ee2b1,1305,Religion,2024-07-10
7940ab47468396569a906f75ff3f20ef,1306,"Sport, exercise and recreation",2024-07-10
f93882cbd8fc7fb794c1011d63be6fb6,1307,Understanding past societies,2024-07-10
602d1305678a8d5fdb372271e980da6a,1399,Other culture and society,2024-07-10
9701a1c165dd9420816bfec5edd6c2b1,1401,Defence,2024-07-10
