"TYP","MEA","BEVT","SUB","FREQUENCY","UNIT_MULT","obsTime","obsValue","process_id","load_datetime"
"2","1","2","10","A","3","1945",39369,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1946",32282,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1947",37264,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1948",47584,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1949",49207,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1950",54912,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1951",60831,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1952",69778,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1953",54248,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1954",56167,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1955",46029,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1956",46957,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1957",49698,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1958",50366,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
